No,검색어,결과값
123,황력액,인삼35%에탄올건조엑스(14.9->1)/음양곽엑스(10->1)/녹용35%에탄올틴크(3->10)/우황60%에탄올틴크(1->100)/티아민질산염/리보플라빈포스페이트나트륨/피리독신염산염/니코틴산아미드/카페인무수물
124,한풍쌍화탕액,쌍화탕연조엑스
125,데오클렌,염화알루미늄
127,보스톤 심플러스,글루콘산클로르헥시딘액/20%염산폴리헥사메틸렌비구아니드/30% 에티드론산테트라나트륨용액
136,마그란 리퀴드,글리세로인산마그네슘/피리독신염산염/니코틴산아미드/리보플라빈포스페이트나트륨
136,마그란 리퀴드,글리세로인산마그네슘/피리독신염산염/니코틴산아미드/리보플라빈포스페이트나트륨
137,마그투 연질,토코페롤아세테이트/산화마그네슘/피리독신염산염/티아민질산염/감마오리자놀
139,새부리형 방역마스크 소,
139,새부리형 방역마스크 소,
140,황사 마스크 ( 흰색 ),
140,황사 마스크 ( 흰색 ),
150,메카인,메클리진염산염수화물/스코폴라민브롬화수소산염수화물/카페인무수물
151,뱅드롱,메클리진염산염수화물/클로르페니라민말레산염/피리독신염산염/카페인무수물
151,뱅드롱,디멘히드리네이트/카페인무수물/피리독신염산염
152,노보민시럽,메클리진염산염수화물/카페인무수물/피리독신염산염
153,소보민시럽,디멘히드리네이트/카페인무수물/니코틴산아미드/피리독신염산염
155,보나링 츄어블정,디멘히드리네이트/스코폴라민브롬화수소산염수화물
156,노블루겔,헤파리노이드
157,멸균면봉,
157,멸균면봉,
162,전우아쿠아가드액,에틸부틸아세틸아미노프로피오네이트
163,써버쿨,l-멘톨/dl-캄파/디펜히드라민/디부카인염산염/에녹솔론
163,써버쿨,크로타미톤/l-멘톨/dl-캄파/디펜히드라민/디부카인염산염/에녹솔론
165,물파스,초산토코페롤/글리시레틴산/말레인산클로르페니라민/디엘 캄파/엘 멘톨/살리실산메칠
165,물파스,살리실산글리콜/l-멘톨/클로르페니라민말레산염/토코페롤아세테이트
171,버물리플라스타,디펜히드라민/이소프로필메틸페놀/l-멘톨
175,버물리 알파,디펜히드라민염산염/디부카인염산염/l-멘톨/DL-캄파/에녹솔론/D-판테놀
179,소브레롤,소브레롤
179,소브레롤,소브레롤
180,뮤코다인,아세틸시스테인
181,기가프신,L-카르보시스테인/브롬헥신염산염
182,오메코프에스,아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물
183,콜대원 코프 큐,아세트아미노펜/덱스트로메토르판브롬화수소산염수화물/DL-메틸에페드린염산염/구아이페네신/카페인무수물
184,향성파적환,연교/길경/감초/사인/천궁/가자/아선약/박하/대황
184,향성파적환,연교/길경/감초/사인/천궁/가자/아선약/대황/박하/이상수침건조엑스
186,챔프 코프액,티페피딘시트르산염/dl-메틸에페드린염산염/구아이페네신
187,토푸렉실플러스시럽,아세트아미노펜/구아이페네신/노스카핀염산염수화물
188,반하후박탕,반하/후박/복령/자소엽/생강
188,반하후박탕,반하엑스산/복령엑스산/후박엑스산/자소엽엑스산/생강엑스산/대추엑스산
189,치감엑스과립,갈근/마황/계지/작약/감초/대추/건강
190,경방갈근탕액,작약/계지/감초/갈근/마황/대추/건강
191,패감산과립,인삼/시호/전호/강활/독활/지각/길경/천궁/복령/감초/이상 수침연조엑스
192,터비뉴원스,테르비나핀염산염
193,터비뉴겔,테르비나핀
207,케어리브 아카기레,
211,면반창고 대,
215,용패탕,당귀/지황/목통/황금/택사/차전자/용담/치자/감초
216,네프신,지황/당귀/목통/황금/택사/차전자/감초/치자/용담/육계/생강/대황/마황/연교
217,요비신,지황/당귀/목통/황금/택사/차전자/감초/치자/용담/육계/생강/대황/마황/연교
218,용사환,치자/택사/목통/감초/차전자/지황/황금/당귀/용담
